source,name,description,unit,period,granularity,reason
embalses_manu,resultados.xlsx,Modelo/proyeccion de volumen util de embalses y escenarios ENOS.,volumen util en masa/porcentaje; sin conversion auditada a GWh,2013-01-01 a 2027-05-01,mensual por embalse o sistema segun archivo,Auditar almacenamiento observado/proyectado y escenarios ENOS sin tratar volumen como aporte.
embalses_manu,resultados_walkforward.xlsx,Modelo/proyeccion de volumen util de embalses y escenarios ENOS.,volumen util en masa/porcentaje; sin conversion auditada a GWh, a ,mensual por embalse o sistema segun archivo,Auditar almacenamiento observado/proyectado y escenarios ENOS sin tratar volumen como aporte.
embalses_manu,escenarios_con_probabilidad.xlsx,Modelo/proyeccion de volumen util de embalses y escenarios ENOS.,volumen util en masa/porcentaje; sin conversion auditada a GWh,2026-06-01 a 2027-05-01,mensual por embalse o sistema segun archivo,Auditar almacenamiento observado/proyectado y escenarios ENOS sin tratar volumen como aporte.
embalses_manu,escenarios_nacional.xlsx,Modelo/proyeccion de volumen util de embalses y escenarios ENOS.,volumen util en masa/porcentaje; sin conversion auditada a GWh,2026-06-01 a 2027-05-01,mensual por embalse o sistema segun archivo,Auditar almacenamiento observado/proyectado y escenarios ENOS sin tratar volumen como aporte.
embalses_manu,escenarios_por_embalse.xlsx,Modelo/proyeccion de volumen util de embalses y escenarios ENOS.,volumen util en masa/porcentaje; sin conversion auditada a GWh, a ,mensual por embalse o sistema segun archivo,Auditar almacenamiento observado/proyectado y escenarios ENOS sin tratar volumen como aporte.
embalses_manu,metricas_multihorizonte.xlsx,Modelo/proyeccion de volumen util de embalses y escenarios ENOS.,volumen util en masa/porcentaje; sin conversion auditada a GWh, a ,mensual por embalse o sistema segun archivo,Auditar almacenamiento observado/proyectado y escenarios ENOS sin tratar volumen como aporte.
embalses_manu,metricas_walkforward.xlsx,Modelo/proyeccion de volumen util de embalses y escenarios ENOS.,volumen util en masa/porcentaje; sin conversion auditada a GWh, a ,mensual por embalse o sistema segun archivo,Auditar almacenamiento observado/proyectado y escenarios ENOS sin tratar volumen como aporte.
xm_validation,README.md,Catalogo o documentacion local de metricas y entidades XM.,no aplica/no documentada, a ,catalogo/documentacion,"Auditar nombres oficiales, unidades, granularidad y codigos XM sin consultar API."
xm_validation,config.yaml,Catalogo o documentacion local de metricas y entidades XM.,no aplica/no documentada, a ,catalogo/documentacion,"Auditar nombres oficiales, unidades, granularidad y codigos XM sin consultar API."
xm_validation,BACKLOG.md,Catalogo o documentacion local de metricas y entidades XM.,no aplica/no documentada, a ,catalogo/documentacion,"Auditar nombres oficiales, unidades, granularidad y codigos XM sin consultar API."
xm_validation,ListadoMetricas.xlsx,Catalogo o documentacion local de metricas y entidades XM.,segun MetricUnits del catalogo XM,2026-06-11 a 2026-06-11,catalogo/documentacion,"Auditar nombres oficiales, unidades, granularidad y codigos XM sin consultar API."
xm_validation,ListadoRecursos.xlsx,Catalogo o documentacion local de metricas y entidades XM.,no aplica/no documentada,2026-06-11 a 2026-06-11,catalogo/documentacion,"Auditar nombres oficiales, unidades, granularidad y codigos XM sin consultar API."
xm_validation,ListadoEmbalses.xlsx,Catalogo o documentacion local de metricas y entidades XM.,no aplica/no documentada,2026-06-11 a 2026-06-11,catalogo/documentacion,"Auditar nombres oficiales, unidades, granularidad y codigos XM sin consultar API."
xm_validation,metricas_candidatas_enos.xlsx,Catalogo o documentacion local de metricas y entidades XM.,no aplica/no documentada,2026-06-11 a 2026-06-11,catalogo/documentacion,"Auditar nombres oficiales, unidades, granularidad y codigos XM sin consultar API."
